,Event_Name,Event_Date,Location,links,Event_type,Event_Audiance,Price,Event_Time,Event_Location,Event_GPS_Location
0,X JED,20 December - 04 May,Jeddah,https://roznamah.sa/en/events/x-jed/,Festival,All,Ticket price: 35 SAR,04:00 pm - 11:00 pm,Jeddah Waterfront,"http://maps.google.com/maps?q=21.617455,39.105975&hl=en"
1,Bounce,01 January - 31 December,Riyadh,https://roznamah.sa/en/events/bounce/,Venue,Children / Female,Minimum age entry is of 3 years old,10:00 am - 10:00 pm,Bounce,"http://maps.google.com/maps?q=24.726424,46.779751&hl=en"
2,La Rustica Vibes,01 January - 22 April,Riyadh,https://roznamah.sa/en/events/la-rustica-vibes/,Festival,All,Free entry,05:00 pm - 12:00 am,Riyadh Park,"http://maps.google.com/maps?q=24.756203,46.630730&hl=en"
3,Ylaah Salt,23 January - 26 April,Riyadh,https://roznamah.sa/en/events/ylaah-salt/,Festival,All,Free entry ,04:00 pm - 12:00 am,Riyadh Park,"http://maps.google.com/maps?q=24.756203,46.630730&hl=en"
4,Half Million Box Park,25 January - 30 April,Riyadh,https://roznamah.sa/en/events/half-a-million-box-park/,Venue,All,NA,04:00 pm - 12:00 am,Riyadh Park,"http://maps.google.com/maps?q=24.756203,46.630730&hl=en"
5,The Marvel Experience KSA,31 January - 04 May,Jeddah,https://roznamah.sa/en/events/the-marvel-experience-ksa/,Shows & Performance,All,Ticket price: 95 SAR,04:00 pm - 11:00 pm,Jeddah Waterfront,"http://maps.google.com/maps?q=21.617455,39.105975&hl=en"
6,THE 303 PROJECT,07 March - 07 May,Riyadh,https://roznamah.sa/en/events/the-303-project/,Festival,All,every weekend ,07:00 pm - 12:00 am,King Abdullah Financial District‏,"http://maps.google.com/maps?q=24.761941,46.640444&hl=en"
7,BOUNCE is NOW OPEN!,31 March - 31 December,Jeddah,https://roznamah.sa/en/events/bounce-is-now-open/,Sports,All,Minimum age for kids 3 Years old.,10:00 am - 10:00 pm,BOUNCE Jeddah,"http://maps.google.com/maps?q=21.618134,39.152664 &hl=en"
8,Mama Africa,05 - 20 April,Jeddah,https://roznamah.sa/en/events/mama-africa/,Arts & Culture,All,ticket price for kids starts from 35 riyals ,05:00 pm - 12:00 am,near to Souk Al shatea,"http://maps.google.com/maps?q=21.588269,39.127033&hl=en"
9,AL BURAQ,11 - 20 April,Najran,https://roznamah.sa/en/events/al-buraq/,Festival,All,Tickets Price :,04:00 pm - 12:00 am,park aba alrashash,"http://maps.google.com/maps?q=17.621956,44.223813&hl=en"
10,Madina Comedy Club - improvisation Challenge,19 April,Almadina,https://roznamah.sa/en/events/madina-comedy-club-2/,Shows & Performance,Male,NA,08:30 pm - 10:30 pm,Hassan Mall,"http://maps.google.com/maps?q=24.497687,39.618825&hl=en"
11,Madina comedy club - Kids Night,19 April,Almadina,https://roznamah.sa/en/events/madina-comedy-club-4/,Shows & Performance,All,tickets price start from 39 SR,08:30 pm - 11:00 pm,Hassan Mall,"http://maps.google.com/maps?q=24.497687,39.618825&hl=en"
12,Madina Comedy Club,26 April,Almadina,https://roznamah.sa/en/events/madina-comedy-club-3/,Shows & Performance,Male,Tickets Price start from 50 SR,08:30 pm - 10:30 pm,Hassan Mall,"http://maps.google.com/maps?q=24.497687,39.618825&hl=en"
13,Madina comedy club - Workers night,26 April,Almadina,https://roznamah.sa/en/events/madina-comedy-club-5/,Shows & Performance,Male,ticket price starts from 50 riyals ,08:30 pm - 11:00 pm,Hassan Mall,"http://maps.google.com/maps?q=24.497687,39.618825&hl=en"
14,Madina comedy club -Hejazi night,03 May,Almadina,https://roznamah.sa/en/events/madina-comedy-club-6/,Shows & Performance,Female,ticket price starts from 50,08:30 pm - 10:30 pm,Hassan Mall,"http://maps.google.com/maps?q=24.497687,39.618825&hl=en"
15,SAWADNA,20 May - 17 August,Taif,https://roznamah.sa/en/events/sawadna/,Festival,Family,NA,05:00 pm - 11:59 pm,Arruddaf Park,"http://maps.google.com/maps?q=21.229757,40.424879&hl=en"
16,The Shadow Show,04 - 18 June,Jeddah,https://roznamah.sa/en/events/the-shadow-show/,Festival,Children / Family,males are not allowed,05:00 pm - 12:00 am,Jungle Land Theme Park - Mersal Village,"http://maps.google.com/maps?q=21.696932,39.233840&hl=en"
17,Kids Zone Festival,05 - 07 June,Al-Muzahmiyya,https://roznamah.sa/en/events/kids-zone-festival/,Carnival,All,Males are allowed.,05:00 pm - 10:00 pm,Municipality Square district Al-Muzahmiyya,"http://maps.google.com/maps?q=24.469196,46.278774 &hl=en"
18,helwa ya belady,05 - 10 June,Qatif,https://roznamah.sa/en/events/helwa-ya-belady/,Festival,All,males are allowed,02:00 pm - 12:00 am,smile gym-um alhamam,"http://maps.google.com/maps?q= 26.516563 ,50.000684&hl=en"
19,Festival of roses and perfumes in the area of the courtyard,10 - 22 June,Albaha,https://roznamah.sa/en/events/festival-of-roses-and-perfumes/,Festival,All,males are allowed,09:30 am - 11:00 pm,Albaha National Wealth Park ,"http://maps.google.com/maps?q=20.173076,41.387186 &hl=en"
20,Zanabig Floral design Contest,13 - 14 September,Riyadh,https://roznamah.sa/en/events/zanabig-floral-design-contest/,Shows & Performance,All,males are allowed ,04:00 pm - 12:00 am,Hilton riyadh ,"http://maps.google.com/maps?q=24.785528,46.727882&hl=en"
